pool	 sample
19	 302
19	 308
19	 314
19	 321
19	 331
19	 341
19	 351
19	 356
19	 362
19	 376
19	 382
20	 4
20	 10
20	 24
20	 30
20	 33
20	 43
20	 53
20	 63
20	 72
20	 78
20	 84
20	 90
20	 101
20	 111
20	 113
20	 123
20	 129
20	 139
20	 149
20	 159
20	 164
20	 170
20	 184
20	 190
20	 197
20	 207
20	 209
20	 219
20	 232
20	 238
20	 244
20	 250
20	 262
20	 272
20	 274
20	 284
20	 295
20	 301
20	 307
20	 313
20	 322
20	 332
20	 342
20	 352
20	 355
20	 361
20	 375
20	 381
21	 5
21	 15
21	 17
21	 27
21	 40
21	 46
21	 52
21	 58
21	 65
21	 75
21	 85
21	 95
21	 100
21	 106
21	 120
21	 126
21	 136
21	 142
21	 148
21	 154
21	 165
21	 175
21	 177
21	 187
21	 196
21	 202
21	 216
21	 222
21	 225
21	 235
21	 245
21	 255
21	 259
21	 265
21	 279
21	 285
21	 290
21	 300
21	 310
21	 320
21	 327
21	 333
21	 339
21	 345
21	 358
21	 368
21	 370
21	 380
22	 6
22	 16
22	 18
22	 28
22	 39
22	 45
22	 51
22	 57
22	 66
22	 76
22	 86
22	 96
22	 99
22	 105
22	 119
22	 125
22	 135
22	 141
22	 147
22	 153
22	 166
22	 176
22	 178
22	 188
22	 195
22	 201
22	 215
22	 221
22	 226
22	 236
22	 246
22	 256
22	 260
22	 266
22	 280
22	 286
22	 289
22	 299
22	 309
22	 319
22	 328
22	 334
22	 340
22	 346
22	 357
22	 367
22	 369
22	 379
23	 7
23	 13
23	 19
23	 25
23	 38
23	 48
23	 50
23	 60
23	 67
23	 73
23	 87
23	 93
23	 98
23	 108
23	 118
23	 128
23	 134
23	 144
23	 146
23	 156
23	 167
23	 173
23	 179
23	 185
23	 194
23	 204
23	 214
23	 224
23	 227
23	 233
23	 247
23	 253
23	 257
23	 267
23	 277
23	 287
23	 292
23	 298
23	 312
23	 318
23	 325
23	 335
23	 337
23	 347
23	 360
23	 366
23	 372
23	 378
24	 8
24	 14
24	 20
24	 26
24	 37
24	 47
24	 49
24	 59
24	 68
24	 74
24	 88
24	 94
24	 97
24	 107
24	 117
24	 127
24	 133
24	 143
24	 145
24	 155
24	 168
24	 174
24	 180
24	 186
24	 193
24	 203
24	 213
24	 223
24	 228
24	 234
24	 248
24	 254
24	 258
24	 268
24	 278
24	 288
24	 291
24	 297
24	 311
24	 317
24	 326
24	 336
24	 338
24	 348
24	 359
24	 365
24	 371
24	 377
25	 1
25	 12
25	 23
25	 30
25	 40
25	 45
25	 50
25	 59
25	 70
25	 79
25	 84
25	 89
25	 99
25	 106
25	 117
25	 128
25	 130
25	 139
25	 152
25	 157
25	 167
25	 174
25	 177
25	 188
25	 197
25	 208
25	 211
25	 218
25	 228
25	 233
25	 246
25	 255
25	 259
25	 266
25	 277
25	 288
25	 294
25	 303
25	 308
25	 313
25	 328
25	 333
25	 338
25	 347
25	 353
25	 364
25	 375
25	 382
26	 2
26	 11
26	 24
26	 29
26	 39
26	 46
26	 49
26	 60
26	 69
26	 80
26	 83
26	 90
26	 100
26	 105
26	 118
26	 127
26	 129
26	 140
26	 151
26	 158
26	 168
26	 173
26	 178
26	 187
26	 198
26	 207
26	 212
26	 217
26	 227
26	 234
26	 245
26	 256
26	 260
26	 265
26	 278
26	 287
26	 293
26	 304
26	 307
26	 314
26	 327
26	 334
26	 337
26	 348
26	 354
26	 363
26	 376
26	 381
27	 3
27	 10
27	 21
27	 32
27	 38
27	 47
27	 52
27	 57
27	 72
27	 77
27	 82
27	 91
27	 97
27	 108
27	 119
27	 126
27	 132
27	 137
27	 150
27	 159
27	 165
27	 176
27	 179
27	 186
27	 199
27	 206
27	 209
27	 220
27	 226
27	 235
27	 248
27	 253
27	 257
27	 268
27	 279
27	 286
27	 296
27	 301
27	 306
27	 315
27	 326
27	 335
27	 340
27	 345
27	 355
27	 362
27	 373
27	 384
28	 4
28	 9
28	 22
28	 31
28	 37
28	 48
28	 51
28	 58
28	 71
28	 78
28	 81
28	 92
28	 98
28	 107
28	 120
28	 125
28	 131
28	 138
28	 149
28	 160
28	 166
28	 175
28	 180
28	 185
28	 200
28	 205
28	 210
28	 219
28	 225
28	 236
28	 247
28	 254
28	 258
28	 267
28	 280
28	 285
28	 295
28	 302
28	 305
28	 316
28	 325
28	 336
28	 339
28	 346
28	 356
28	 361
28	 374
28	 383
29	 5
29	 16
29	 19
29	 26
29	 36
29	 41
29	 54
29	 63
29	 66
29	 75
29	 88
29	 93
29	 103
29	 110
29	 113
29	 124
29	 134
29	 143
29	 148
29	 153
29	 163
29	 170
29	 181
29	 192
29	 193
29	 204
29	 215
29	 222
29	 232
29	 237
29	 242
29	 251
29	 263
29	 270
29	 273
